Tempo,Media Movel
1943.7083,7004.583333333333
1943.7917,7011.75
1943.875,7005.166666666667
1943.9583,6997.583333333333
1944.0417,7002.666666666667
1944.125,6997.333333333333
1944.2083,6991.75
1944.2917,6987.166666666667
1944.375,6987.916666666667
1944.4583,6984.333333333333
1944.5417,6982.333333333333
1944.625,6979.833333333333
1944.7083,6980.583333333333
1944.7917,6973.916666666667
1944.875,6982.833333333333
1944.9583,6986.916666666667
1945.0417,6986.166666666667
1945.125,6989.5
1945.2083,6999.666666666667
1945.2917,6990.833333333333
1945.375,6998.166666666667
1945.4583,6996.916666666667
1945.5417,6999.416666666667
1945.625,7001.416666666667
1945.7083,6999.666666666667
1945.7917,6998.416666666667
1945.875,6999.416666666667
1945.9583,7012.583333333333
1946.0417,7012.083333333333
1946.125,7018.666666666667
1946.2083,7018.416666666667
1946.2917,7028.833333333333
1946.375,7026.583333333333
1946.4583,7031.916666666667
1946.5417,7033.5
1946.625,7031.5
1946.7083,7035.333333333333
1946.7917,7036.333333333333
1946.875,7027.166666666667
1946.9583,7018.833333333333
1947.0417,7015.75
1947.125,7011.916666666667
1947.2083,7012.166666666667
1947.2917,7008.583333333333
1947.375,7006.25
1947.4583,7007.5
1947.5417,7007.0
1947.625,7010.0
1947.7083,7005.916666666667
1947.7917,7018.416666666667
1947.875,7015.666666666667
1947.9583,7012.333333333333
1948.0417,7014.916666666667
1948.125,7014.666666666667
1948.2083,7012.333333333333
1948.2917,7027.583333333333
1948.375,7036.0
1948.4583,7036.5
1948.5417,7038.25
1948.625,7040.583333333333
1948.7083,7044.666666666667
1948.7917,7031.666666666667
1948.875,7034.166666666667
1948.9583,7038.5
1949.0417,7025.583333333333
1949.125,7031.166666666667
1949.2083,7037.25
1949.2917,7020.5
1949.375,7015.916666666667
1949.4583,7010.083333333333
1949.5417,7004.75
1949.625,7002.666666666667
1949.7083,7000.583333333333
1949.7917,6993.5
1949.875,6996.833333333333
1949.9583,6991.0
1950.0417,7007.0
1950.125,7003.25
1950.2083,7003.25
1950.2917,7010.083333333333
1950.375,7003.5
1950.4583,7006.833333333333
1950.5417,7011.666666666667
1950.625,7013.25
1950.7083,7014.833333333333
1950.7917,7037.416666666667
1950.875,7043.25
1950.9583,7056.166666666667
1951.0417,7060.166666666667
1951.125,7066.25
1951.2083,7061.5
1951.2917,7057.416666666667
1951.375,7065.0
1951.4583,7064.75
1951.5417,7066.75
1951.625,7065.666666666667
1951.7083,7068.666666666667
1951.7917,7063.333333333333
1951.875,7066.333333333333
1951.9583,7060.75
1952.0417,7066.833333333333
1952.125,7062.25
1952.2083,7061.416666666667
1952.2917,7061.666666666667
1952.375,7053.833333333333
1952.4583,7052.25
1952.5417,7047.166666666667
1952.625,7050.5
1952.7083,7046.916666666667
1952.7917,7035.0
1952.875,7023.833333333333
1952.9583,7034.75
1953.0417,7041.166666666667
1953.125,7032.0
1953.2083,7033.583333333333
1953.2917,7034.083333333333
1953.375,7043.416666666667
1953.4583,7042.666666666667
1953.5417,7042.166666666667
1953.625,7041.166666666667
1953.7083,7044.0
1953.7917,7050.333333333333
1953.875,7067.333333333333
1953.9583,7053.583333333333
1954.0417,7050.75
1954.125,7065.5
1954.2083,7067.25
1954.2917,7071.083333333333
1954.375,7067.333333333333
1954.4583,7074.5
1954.5417,7077.333333333333
1954.625,7076.583333333333
1954.7083,7075.583333333333
1954.7917,7076.333333333333
1954.875,7068.0
1954.9583,7074.416666666667
1955.0417,7057.166666666667
1955.125,7040.916666666667
1955.2083,7030.0
1955.2917,7031.5
1955.375,7024.333333333333
1955.4583,7017.166666666667
1955.5417,7015.083333333333
1955.625,7009.0
1955.7083,7003.916666666667
1955.7917,7001.166666666667
1955.875,6996.083333333333
1955.9583,7000.333333333333
1956.0417,7019.916666666667
1956.125,7026.0
1956.2083,7036.916666666667
1956.2917,7032.666666666667
1956.375,7042.583333333333
1956.4583,7048.416666666667
1956.5417,7051.5
1956.625,7056.583333333333
1956.7083,7061.916666666667
1956.7917,7066.166666666667
1956.875,7055.75
1956.9583,7042.083333333333
1957.0417,7018.166666666667
1957.125,7018.916666666667
1957.2083,7023.5
1957.2917,7025.25
1957.375,7033.166666666667
1957.4583,7032.666666666667
1957.5417,7033.666666666667
1957.625,7037.166666666667
1957.7083,7042.0
1957.7917,7045.333333333333
1957.875,7054.5
1957.9583,7069.5
1958.0417,7090.083333333333
1958.125,7113.166666666667
1958.2083,7111.916666666667
1958.2917,7119.833333333333
1958.375,7111.416666666667
1958.4583,7113.0
1958.5417,7112.75
1958.625,7114.833333333333
1958.7083,7113.25
1958.7917,7111.75
1958.875,7117.333333333333
1958.9583,7113.75
1959.0417,7110.916666666667
1959.125,7099.0
1959.2083,7094.166666666667
1959.2917,7089.333333333333
1959.375,7087.333333333333
1959.4583,7086.0
1959.5417,7086.5
1959.625,7083.666666666667
1959.7083,7087.0
1959.7917,7087.25
1959.875,7081.416666666667
1959.9583,7075.083333333333
1960.0417,7068.75
1960.125,7063.916666666667
1960.2083,7066.666666666667
1960.2917,7070.666666666667
1960.375,7076.25
1960.4583,7081.583333333333
1960.5417,7077.75
1960.625,7076.75
1960.7083,7069.416666666667
1960.7917,7066.083333333333
1960.875,7070.916666666667
1960.9583,7069.916666666667
1961.0417,7075.25
1961.125,7080.833333333333
1961.2083,7090.5
1961.2917,7082.666666666667
1961.375,7081.416666666667
